OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
1,Streett,Tylden,,Sails,1978,copper,21231,Patterson HS,100 Kane St.,,Second story window,,,,,"100 Kane St.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,07f1d803-f7b1-449d-b4d3-3a95f4fc58db
2,Russum,Olin,,Unknown,1969,ceramic tree,21215,Callaway ES,3701 Fernwood Ave.,PS 251,Stairwell,,,,,"3701 Fernwood Ave.21215
(39.34556999999995, -76.68362000000002)",5,244,27295,fb808145-ff01-49b6-aee7-183ed0de69c8
3,Benson,J. Arthur,,Unknown,1973,concrete and corten steel,21230,Westport ES,2401 Nevada St.,PS 225,Playground,,,,,"2401 Nevada St.21230
(39.26210905910267, -76.63832323642481)",258,161,27953,5ece1766-9afa-4b66-a247-e914ae759162
4,Hepworth,Barbara,,Single Form,,,,Blaustein Building Lobby,Blaustein Building Lobby,,,,,,,Blaustein Building Lobby,,,,06c588d4-c383-4308-bb79-5b3ab16fad94
5,McCullough,Donna,,,1989,mural,21202,141 S. Central Ave.,141 S. Central Ave.,,,,,,,"141 S. Central Ave.21202
(39.28932254370926, -76.59946353153873)",249,111,13645,ea10f51f-80ce-42a8-856b-988dee30a18b
6,Alexander,Patricia,https://data.baltimorecity.gov/views/5xsg-uc29/files/GZ20pycxYnWXIx_7L_IPbaWIYSvhP0T_CpyXWhnXHTg?filename=91b_Alexander_1981.jpg,Unknown,,ceramic tiles,21201,Lexington Market Station,217 N. Eutaw,,Covers ceiling beams,,,,,"217 N. Eutaw21201
(39.291911796810055, -76.62101504105593)",65,5,13642,db9af3f6-65f2-4369-b9fb-b834c7fd01bc
7,Farber,Saul,,Unknown,1980,stained glass,21231,Broadway Market,Broadway Market,,Window,,,,,"Broadway Market21231
(39.28823000000011, -76.59190000000001)",240,287,27954,d89bf5e1-aded-4e3e-a233-f265dd57101c
8,Perlman,Joel,,Untitled,1970,painted steel,21223,Southwestern Sr. HS,200 Font Hill Ave.,PS 412,Entrance,,,,,"200 Font Hill Ave.21223
(39.28353990306084, -76.66253298545354)",35,76,27632,c71e2da5-82c8-4f9b-9217-4ba41e602237
9,Mears,Mary Ann,https://data.baltimorecity.gov/views/5xsg-uc29/files/dcSyzvQ8mKA4hXvTjqr-aXgqCTAKOx1EC_IOaTMoDwI?filename=51a_Mears+M_1978.jpg,Red Buoyant,1978,painted aluminum,21202,IBM Building,100 E. Pratt St.,,Entrance plaza,,Very visible,Outdoor accessible,,"100 E. Pratt St.21202
(39.286561625079344, -76.61279148401297)",121,3,13645,37d5e188-e85f-4ca9-985d-fe47db810520
10,"Mills, architect and Causici, artist",Robert and Henrico,,Washington Monument,1815-29,marble,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,center of circle,,Highly Visible,outdoor accessible,Y,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,7cffc8df-296b-49cc-b752-13b76244f0b7
