Freedom to make life choices,Generosity
0.530935049,0.247159243
0.601512134,-0.174558803
0.586663485,-0.198870689
0.456028581,-0.124706
0.747498393,-0.148022771
0.501863778,-0.202869654
0.935146272,0.258976281
0.919703901,0.109221973
0.598859072,-0.164287835
0.681822896,
0.66768229,-0.02715938
0.64524883,-0.228947371
0.855266631,-0.059749197
0.768971086,-0.085358299
0.86237967,-0.009825646
0.419789314,-0.015265614
0.799410224,-0.212750569
0.848606348,
0.641256452,-0.177450985
0.621848702,-0.057048257
0.955595791,0.247116447
0.766064227,-0.033722017
0.917961121,0.276096433
0.562908113,-0.044328865
0.733610928,0.18186979
0.808255136,-0.202918619
0.827868104,-0.016503865
0.534040928,-0.069552734
0.772510767,-0.147367403
0.557286203,-0.005517539
0.92891407,0.045661923
0.541909754,-0.248352468
0.724629581,0.086746261
0.739808738,-0.160838559
0.932627916,0.127539426
0.840129376,-0.065198809
0.825275123,-0.089298949
0.451543361,-0.146938071
0.682744801,-0.163661525
0.696825743,-0.201046899
0.776308239,-0.032520976
0.920968115,-0.012045811
0.841320336,-0.159649923
0.565965831,-0.215515137
0.65872401,-0.254449189
0.904440463,0.060317129
0.679418445,0.047719266
0.37261042,-0.310992062
0.865472019,0.016726265
0.646187842,0.011558649
0.482485861,0.2925466
0.700452089,0.003997721
0.879752457,0.204656839
0.56923151,-0.147043735
0.904654503,0.233745292
0.609320104,0.055292785
0.770319343,0.340603173
0.764418423,
0.314564616,-0.05977096
0.90219456,0.291833282
0.681439221,0.145161554
0.570094943,0.104592361
0.752831519,
0.693142116,-0.160638839
0.839832306,-0.186195031
0.627654195,0.082487695
0.635793388,0.019289259
0.934049547,
0.702731669,-0.055728517
,0.238068149
0.563811779,-0.044994887
0.620627165,-0.007968698
0.711518884,-0.062263638
0.503027141,-0.281919926
0.916520953,0.044481251
0.613055706,-0.086592704
0.487007886,-0.047277849
0.637362719,0.165935576
0.848071814,-0.001914886
0.704219282,-0.082917713
0.860689879,0.340875238
0.487372756,-0.002736215
0.787768304,-0.099098481
0.602418542,-0.00156391
0.688311696,0.09188357
0.46170637,-0.194561794
0.756784618,-0.198701277
0.691094279,0.625391603
0.637778401,0.081051968
0.877118647,0.276099622
0.901853085,0.277378291
0.850304902,0.018913383
0.734430909,-0.04501057
0.651688874,0.054680578
0.692567647,
0.946565867,0.120922364
0.366844118,0.150681734
0.541582882,-0.158223853
0.783182502,0.005216825
0.748206615,0.214730084
0.703000546,-0.091062851
0.914499581,0.047324717
0.811301708,-0.037411589
0.773821414,-0.104271121
0.924333632,0.11814566
0.644536138,-0.117041543
0.609104157,-0.307606727
0.835491359,-0.005128154
0.560455382,-0.144272059
0.668252289,-0.022164073
0.460574687,-0.134579897
0.620004296,-0.043799434
0.904386282,-0.027284415
0.758219004,
0.590144992,-0.174449459
0.61839807,
0.754586101,-0.068857409
0.800397217,0.153034613
0.411947906,-0.064391643
0.885488451,-0.080004871
0.944382191,0.119244285
0.945428014,0.12572737
0.466770619,0.30370754
0.698195159,
0.749034524,-0.071462199
0.577453315,0.206547231
0.846932828,0.369734466
0.567737222,-0.191103399
0.470903218,-0.224778861
0.78556335,-0.146875903
0.649463236,0.094537929
0.563649774,-0.205425665
0.919792593,
0.888970494,0.361319065
0.822662294,0.199201018
0.870590031,0.053386752
0.913550139,-0.039761808
0.80410856,-0.205540046
0.856053472,-0.10952954
0.705815315,-0.177809879
0.787760317,-0.002135111
0.469531179,-0.072877467
